Genre,Movie Name,Year,Rating,Votes,Type,Detail/Main Story,Metascore
Adventure,33. Interstellar,2014,8.7?(2M),"Votes2,047,282",,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",74
Adventure,34. Indiana Jones and the Dial of Destiny,2023,6.6?(183K),"Votes183,408",,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,58
Adventure,35. Lost,2004?2010,8.3?(587K),"Votes587,083",TV Series,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,
Adventure,36. Mission: Impossible - Dead Reckoning Part One,2023,7.7?(217K),"Votes217,373",,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,81
Adventure,37. The Mandalorian,2019?,8.7?(576K),"Votes575,794",TV Series,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",
Adventure,38. Everything Everywhere All at Once,2022,7.8?(509K),"Votes508,884",,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,81
Adventure,39. Fast X,2023,5.8?(112K),"Votes111,532",,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,56
Adventure,40. The Wheel of Time,2021?,7.2?(134K),"Votes134,331",TV Series,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.",
Adventure,41. Migration,2023,6.8?(7.3K),"Votes7,313",,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,56
Adventure,42. Harry Potter and the Philosopher's Stone,2001,7.6?(845K),"Votes845,428",,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",65
Adventure,43. The Killer,2023,6.8?(164K),"Votes164,135",,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal.",73
Adventure,44. The Super Mario Bros. Movie,2023,7.0?(226K),"Votes225,821",,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess.",46
Adventure,45. The Hunger Games,2012,7.2?(992K),"Votes991,570",,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,68
Adventure,46. Gladiator,2000,8.5?(1.6M),"Votes1,596,219",,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,67
Adventure,47. The Legend of Tarzan,2016,6.2?(186K),"Votes186,029",,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",44
Adventure,48. Gen V,2023?,7.8?(77K),"Votes76,579",TV Series,"From the world of ""The Boys"" comes ""Gen V,"" which explores the first generation of superheroes to know that their super powers are from Compound V. These heroes put their physical and moral boundaries to the test competing for the school's top ranking.",
Adventure,49. Loki,2021?2023,8.2?(403K),"Votes402,688",TV Series,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of ¡°Avengers: Endgame.¡±,
Adventure,50. The Lord of the Rings: The Fellowship of the Ring,2001,8.9?(2M),"Votes1,979,155",,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,92
Adventure,51. One Piece,2023?,8.4?(138K),"Votes138,147",TV Series,"In a seafaring world, a young pirate captain sets out with his crew to attain the title of Pirate King, and to discover the mythical treasure known as 'One Piece.'",
Adventure,52. Gran Turismo,2023,7.2?(80K),"Votes80,094",,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world.",48
Adventure,53. The Lord of the Rings: The Rings of Power,2022?,7.0?(346K),"Votes346,395",TV Series,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",
Adventure,54. Spartacus,2010?2013,8.5?(254K),"Votes254,226",TV Series,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",
Adventure,55. Inception,2010,8.8?(2.5M),"Votes2,512,674",,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",74
Adventure,56. Ahsoka,2023?,7.6?(103K),"Votes102,901",TV Series,"After the fall of the Galactic Empire, former Jedi Ahsoka Tano investigates an emerging threat to a vulnerable galaxy.",
Adventure,57. Percy Jackson & the Lightning Thief,2010,5.9?(201K),"Votes200,563",,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,47
Adventure,58. Star Trek: Strange New Worlds,2022?,8.3?(56K),"Votes56,330",TV Series,"A prequel to Star Trek: The Original Series, the show follows the crew of the USS Enterprise under Captain Christopher Pike.",
